Disease;;disease;;species;;geo gistribution string;;scoping >=1970;scoping >=1990;scoping >=2000;Notes on search sdjustments;Suggested final
Getah virus;TITLE-ABS-KEY (;"(""Getah virus"" OR ""getah disease"" OR ""Sagiyama virus"")";;;AND;;)  AND  ( PUBYEAR AFT 1970) ;;;;not restricted to hosts (swine and equine???);
Highlands J virus;TITLE-ABS-KEY (;"(“Highland J” OR ""Highlands disease"")";AND;(Chicken* OR Gallus OR Hen OR Avian OR Gallina* OR Turkey* OR Meleagridis OR Duck* OR Anatidae OR Pigeon* OR Columbidae OR Parrot* OR Psittacidae OR Parakeet* OR Psittaculidae OR Ostrich* OR Struthio OR ”Bird of prey” OR ”Birds of prey” OR Tytonidae OR Strigidae OR Cathartidae OR Sagittariidae OR Pandionidae OR Accipitridae OR Falconidade OR raptor* OR Falconiform* OR Strigiform* OR owl* OR vultur* OR falcon* OR hawk* OR eagle* OR raptor* OR osprey* OR kite* OR buzzard OR harrier* OR caracara*);AND;;)  AND  ( PUBYEAR AFT 1970) ;;;;all bird species;
Japanese encephalitis virus;TITLE-ABS-KEY (;(“Japanese encephalitis”);;;AND;;)  AND  ( PUBYEAR AFT 1970) ;;;;not restricted to hosts;
Palyam virus;TITLE-ABS-KEY (;"(""Palyam virus"" OR ""palyamvirus"" OR ""Kasba virus"" OR ""kasbavirus"")";AND;(Buffalo OR Bubalus OR Cattle OR Cow OR Bovine OR Bos OR Yak OR Goat OR Capra OR caprine OR Sheep OR Ovis or Ovine OR Camel or Camelid OR Dromedary OR Alpaca OR Vicugna OR Llama OR Lama OR Vicuna OR Vicuña OR Deer OR Cervidae OR Bison OR Gazella OR Gazelle OR “Syncerus caffer” OR “African buffalo” OR “Cape buffalo” OR Tayassuidae OR peccary OR javelina OR Proboscidea OR elephant OR Elephantidae);AND;;)  AND  ( PUBYEAR AFT 1970) ;;;;kept all ruminants;
Kotonkon virus;TITLE-ABS-KEY (;"(""Kotonkon virus"" OR ""Kotonkan virus"")";;;AND;;)  AND  ( PUBYEAR AFT 1970) ;;;;not restricted to hosts;
Main drain virus;TITLE-ABS-KEY (;"(""Main drain virus"" OR ""main drain disease"")";;;AND;;)  AND  ( PUBYEAR AFT 1970) ;;;;not restricted to hosts;
Middelburg virus;TITLE-ABS-KEY (;"(""Middelburg virus"")";;;AND;;)  AND  ( PUBYEAR AFT 1970) ;;;;not restricted to hosts;
Nairobi sheep disease virus;TITLE-ABS-KEY (;"(""Nairobi sheep disease"")";AND;(Goat OR Capra OR caprine OR Sheep OR Ovis or Ovine);AND;;)  AND  ( PUBYEAR AFT 1970) ;;;;;
Peruvian horse sickness virus;TITLE-ABS-KEY (;(“Peruvian horse sickness”);AND;(Ass OR Donkey OR Equus OR Horse OR equine OR equid OR Zebra);AND;;)  AND  ( PUBYEAR AFT 1970) ;;;;;
Schmallenberg virus;TITLE-ABS-KEY (;"(""Schmallenberg virus"" OR ""Schmallenberg disease"")";AND;(Buffalo OR Bubalus OR Cattle OR Cow OR Bovine OR Bos OR Yak OR Goat OR Capra OR caprine OR Sheep OR Ovis or Ovine OR Camel or Camelid OR Dromedary OR Alpaca OR Vicugna OR Llama OR Lama OR Vicuna OR Vicuña OR Deer OR Cervidae OR Bison OR Gazella OR Gazelle OR “Syncerus caffer” OR “African buffalo” OR “Cape buffalo” OR Tayassuidae OR peccary OR javelina OR Proboscidea OR elephant OR Elephantidae);AND;;)  AND  ( PUBYEAR AFT 1970) ;;;;kept all ruminants;
